"","X_id","OFFENCE_YEAR","DIVISION","TICKET_TYPE","OFFENCE_CATEGORY","AGE_GROUP","HOOD_158","NEIGHBOURHOOD_158","TICKET_COUNT"
"18",18,2015,"D22","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","NSA","NSA",52
"19",19,2017,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","27","York University Heights",35
"20",20,2019,"D12","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","115","Mount Dennis",1
"21",21,2021,"D11","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","85","South Parkdale",29
"22",22,2019,"D22","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","9","Edenbridge-Humber Valley",1
"23",23,2019,"D41","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","119","Wexford/Maryvale",10
"24",24,2014,"D32","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","34","Bathurst Manor",12
"25",25,2021,"D55","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","69","Blake-Jones",5
"26",26,2021,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","133","Centennial Scarborough",3
"27",27,2020,"D55","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","59","Danforth East York",50
"28",28,2018,"D41","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","123","Cliffcrest",2
"29",29,2015,"D14","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","80","Palmerston-Little Italy",19
"30",30,2021,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","107","Oakwood Village",4
"31",31,2022,"D22","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","18","New Toronto",20
"32",32,2018,"D12","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","29","Maple Leaf",1
"33",33,2017,"D14","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","163","Fort York-Liberty Village",1
"34",34,2017,"D42","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","146","Malvern East",153
"35",35,2018,"D23","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","11","Eringate-Centennial-West Deane",3
"36",36,2022,"D32","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","151","Yonge-Doris",4
"37",37,2020,"D33","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","53","Henry Farm",1
"38",38,2020,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","78","Kensington-Chinatown",2
"39",39,2020,"D33","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","149","Parkwoods-O'Connor Hills",20
"40",40,2014,"D43","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","123","Cliffcrest",92
"41",41,2021,"D31","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","27","York University Heights",10
"42",42,2014,"D43","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","133","Centennial Scarborough",1
"43",43,2018,"D51","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","167","Church-Wellesley",3
"44",44,2020,"D32","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","151","Yonge-Doris",2
"45",45,2021,"D53","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","173","North Toronto",3
"46",46,2022,"NSA","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","144","Morningside Heights",1
"47",47,2016,"D32","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","37","Willowdale West",3
"48",48,2020,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","13","Etobicoke West Mall",28
"49",49,2018,"NSA","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","48","Hillcrest Village",2
"50",50,2021,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","130","Milliken",1
"51",51,2022,"D22","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","19","Long Branch",3
"52",52,2017,"D55","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","60","Woodbine-Lumsden",5
"53",53,2018,"D22","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","16","Stonegate-Queensway",75
"54",54,2021,"D31","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Youth","155","Downsview",2
"55",55,2015,"D52","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","164","Wellington Place",158
"56",56,2014,"D41","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","124","Kennedy Park",41
"57",57,2016,"D53","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","99","Mount Pleasant East",1
"58",58,2016,"D52","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","165","Harbourfront-CityPlace",35
"59",59,2019,"D33","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","47","Don Valley Village",34
"60",60,2021,"D52","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","NSA","NSA",8
"61",61,2017,"D13","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","96","Casa Loma",33
"62",62,2016,"D52","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","168","Downtown Yonge East",462
"63",63,2016,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","NSA","NSA",78
"64",64,2021,"D11","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","91","Weston-Pelham Park",139
"65",65,2022,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","101","Forest Hill South",9
"66",66,2016,"D41","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","121","Oakridge",1
"67",67,2022,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","36","Newtonbrook West",348
"68",68,2018,"D43","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","143","West Rouge",4
"69",69,2019,"D12","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","115","Mount Dennis",10
"70",70,2014,"D42","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","144","Morningside Heights",10
"71",71,2020,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","165","Harbourfront-CityPlace",2
"72",72,2021,"D53","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","103","Lawrence Park South",2
"73",73,2017,"D52","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","164","Wellington Place",453
"74",74,2018,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","118","Tam O'Shanter-Sullivan",167
"75",75,2017,"D31","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","27","York University Heights",164
"76",76,2021,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","48","Hillcrest Village",4
"77",77,2021,"D12","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","23","Pelmo Park-Humberlea",1
"78",78,2016,"D53","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","55","Thorncliffe Park",1
"79",79,2014,"D31","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","27","York University Heights",309
"80",80,2015,"D32","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","27","York University Heights",41
"81",81,2017,"D33","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","NSA","NSA",6
"82",82,2018,"D33","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","46","Pleasant View",15
"83",83,2017,"D53","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","100","Yonge-Eglinton",318
"84",84,2016,"D55","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","65","Greenwood-Coxwell",33
"85",85,2018,"D32","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","41","Bridle Path-Sunnybrook-York Mills",20
"86",86,2019,"D23","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","NSA","NSA",80
"87",87,2018,"D43","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Youth","136","West Hill",1
"88",88,2019,"D42","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","148","East L'Amoreaux",15
"89",89,2015,"D41","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","126","Dorset Park",192
"90",90,2017,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","10","Princess-Rosethorn",5
"91",91,2021,"D55","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","54","O'Connor-Parkview",2
"92",92,2022,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","49","Bayview Woods-Steeles",83
"93",93,2015,"D55","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","63","The Beaches",115
"94",94,2015,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","142","Woburn North",12
"95",95,2022,"D31","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","48","Hillcrest Village",1
"96",96,2018,"D43","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","133","Centennial Scarborough",3
"97",97,2016,"D13","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","96","Casa Loma",14
"98",98,2015,"D42","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","116","Steeles",1
"99",99,2015,"D51","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","73","Moss Park",908
"100",100,2018,"D31","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","24","Black Creek",87
"101",101,2016,"D55","Prov Offence Summons Part Iii Form 104                                         ","Distracted Driving","Adult","54","O'Connor-Parkview",2
"102",102,2021,"D23","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","9","Edenbridge-Humber Valley",9
"103",103,2016,"D53","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","174","South Eglinton-Davisville",2
"104",104,2014,"D41","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","NSA","NSA",13
"105",105,2022,"D14","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","80","Palmerston-Little Italy",1
"106",106,2020,"D53","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","100","Yonge-Eglinton",4
"107",107,2021,"D55","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","NSA","NSA",1
"108",108,2019,"D11","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","171","Junction-Wallace Emerson",7
"109",109,2018,"D11","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","89","Runnymede-Bloor West Village",5
"110",110,2022,"D33","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","119","Wexford/Maryvale",4
"111",111,2018,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","163","Fort York-Liberty Village",6
"112",112,2017,"D51","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","168","Downtown Yonge East",584
"113",113,2016,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","36","Newtonbrook West",1
"114",114,2021,"D43","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","135","Morningside",678
"115",115,2017,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","102","Forest Hill North",17
"116",116,2019,"D31","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","22","Humbermede",33
"117",117,2018,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","85","South Parkdale",1
"118",118,2019,"D33","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","NSA","NSA",847
"119",119,2020,"D31","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","21","Humber Summit",8
"120",120,2017,"D32","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","33","Clanton Park",65
"121",121,2020,"D42","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","146","Malvern East",293
"122",122,2020,"D22","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","161","Humber Bay Shores",651
"123",123,2022,"D32","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","33","Clanton Park",2
"124",124,2017,"D33","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","149","Parkwoods-O'Connor Hills",19
"125",125,2014,"D11","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","171","Junction-Wallace Emerson",41
"126",126,2022,"D43","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","156","Bendale-Glen Andrew",1
"127",127,2017,"D43","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","133","Centennial Scarborough",44
"128",128,2021,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","85","South Parkdale",4
"129",129,2019,"D14","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","172","Dovercourt Village",10
"130",130,2017,"D33","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","44","Flemingdon Park",3
"131",131,2014,"D55","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","121","Oakridge",3
"132",132,2022,"D13","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","94","Wychwood",11
"133",133,2015,"D42","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","130","Milliken",3
"134",134,2022,"D12","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","115","Mount Dennis",8
"135",135,2018,"D31","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","22","Humbermede",108
"136",136,2022,"D33","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","46","Pleasant View",25
"137",137,2016,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","87","High Park-Swansea",2
"138",138,2014,"D43","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","156","Bendale-Glen Andrew",26
"139",139,2017,"D32","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","27","York University Heights",18
"140",140,2016,"D11","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","85","South Parkdale",4
"141",141,2020,"D43","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","NSA","NSA",21
"142",142,2015,"D42","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","NSA","NSA",403
"143",143,2019,"D31","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","24","Black Creek",74
"144",144,2020,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","126","Dorset Park",4
"145",145,2014,"D53","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","102","Forest Hill North",1
"146",146,2014,"D41","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","126","Dorset Park",25
"147",147,2014,"D22","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","16","Stonegate-Queensway",2
"148",148,2015,"D42","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","129","Agincourt North",4
"149",149,2017,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","108","Briar Hill-Belgravia",40
"150",150,2019,"D52","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","164","Wellington Place",292
"151",151,2021,"D23","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","4","Rexdale-Kipling",58
"152",152,2014,"D33","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","47","Don Valley Village",11
"153",153,2020,"D14","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Youth","164","Wellington Place",2
"154",154,2014,"D12","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","111","Rockcliffe-Smythe",193
"155",155,2014,"D33","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","150","Fenside-Parkwoods",10
"156",156,2019,"D43","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","156","Bendale-Glen Andrew",125
"157",157,2014,"D51","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","73","Moss Park",1
"158",158,2016,"D11","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","91","Weston-Pelham Park",18
"159",159,2022,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Youth","151","Yonge-Doris",1
"160",160,2021,"D23","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","8","Humber Heights-Westmount",5
"161",161,2016,"D13","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","109","Caledonia-Fairbank",15
"162",162,2019,"D13","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","31","Yorkdale-Glen Park",180
"163",163,2015,"D23","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","1","West Humber-Clairville",50
"164",164,2021,"D41","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","126","Dorset Park",435
"165",165,2016,"D41","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","121","Oakridge",17
"166",166,2021,"D43","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","136","West Hill",18
"167",167,2022,"D55","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","62","East End-Danforth",29
"168",168,2022,"D41","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","122","Birchcliffe-Cliffside",2
"169",169,2022,"D33","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","43","Victoria Village",28
"170",170,2019,"D13","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","107","Oakwood Village",3
"171",171,2021,"D12","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","29","Maple Leaf",66
"172",172,2022,"D33","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","44","Flemingdon Park",29
"173",173,2017,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","19","Long Branch",27
"174",174,2018,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","152","East Willowdale",10
"175",175,2014,"D33","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","118","Tam O'Shanter-Sullivan",1
"176",176,2015,"D33","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","150","Fenside-Parkwoods",5
"177",177,2015,"D22","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","158","Islington",7
"178",178,2019,"D43","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","140","Guildwood",4
"179",179,2019,"D31","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Youth","25","Glenfield-Jane Heights",1
"180",180,2021,"D31","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","23","Pelmo Park-Humberlea",6
"181",181,2019,"D23","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","3","Thistletown-Beaumond Heights",53
"182",182,2021,"D53","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","71","Cabbagetown-South St.James Town",1
"183",183,2018,"D11","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","89","Runnymede-Bloor West Village",38
"184",184,2022,"D55","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","58","Old East York",1
"185",185,2014,"D11","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Youth","83","Dufferin Grove",1
"186",186,2018,"D23","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","NSA","NSA",530
"187",187,2015,"D22","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","15","Kingsway South",77
"188",188,2014,"D41","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","120","Clairlea-Birchmount",4
"189",189,2014,"D23","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","2","Mount Olive-Silverstone-Jamestown",5
"190",190,2017,"D33","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","NSA","NSA",528
"191",191,2016,"D53","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","74","North St.James Town",71
"192",192,2019,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","103","Lawrence Park South",5
"193",193,2022,"D55","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","120","Clairlea-Birchmount",3
"194",194,2019,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","40","St.Andrew-Windfields",49
"195",195,2014,"D55","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","44","Flemingdon Park",54
"196",196,2016,"D11","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","NSA","NSA",22
"197",197,2021,"D41","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","122","Birchcliffe-Cliffside",27
"198",198,2021,"D55","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","58","Old East York",39
"199",199,2021,"NSA","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","12","Markland Wood",1
"200",200,2021,"D32","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","NSA","NSA",62
"201",201,2021,"D12","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","30","Brookhaven-Amesbury",192
"202",202,2016,"D32","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","32","Englemount-Lawrence",191
"203",203,2014,"D13","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","32","Englemount-Lawrence",48
"204",204,2022,"D41","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","123","Cliffcrest",1
"205",205,2015,"D33","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","120","Clairlea-Birchmount",5
"206",206,2014,"D42","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","148","East L'Amoreaux",1
"207",207,2016,"D11","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","91","Weston-Pelham Park",31
"208",208,2022,"D41","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","126","Dorset Park",775
"209",209,2017,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","85","South Parkdale",2
"210",210,2016,"D33","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","53","Henry Farm",48
"211",211,2021,"D11","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","90","Junction Area",99
"212",212,2018,"D51","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","168","Downtown Yonge East",438
"213",213,2022,"D14","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","84","Little Portugal",119
"214",214,2016,"D23","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","21","Humber Summit",5
"215",215,2019,"D55","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","70","South Riverdale",1
"216",216,2022,"D41","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","119","Wexford/Maryvale",11
"217",217,2016,"D33","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","150","Fenside-Parkwoods",4
"218",218,2017,"D31","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","24","Black Creek",12
"219",219,2017,"D52","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","169","Bay-Cloverhill",28
"220",220,2018,"D14","Prov Offence Summons Part Iii Form 104                                         ","Distracted Driving","Adult","81","Trinity-Bellwoods",2
"221",221,2017,"D22","Prov Offence Summons Part Iii Form 104                                         ","Speeding","Adult","10","Princess-Rosethorn",6
"222",222,2020,"D23","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","8","Humber Heights-Westmount",41
"223",223,2017,"D32","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","40","St.Andrew-Windfields",1
"224",224,2014,"D33","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","53","Henry Farm",20
"225",225,2017,"D42","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","118","Tam O'Shanter-Sullivan",3
"226",226,2019,"D33","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","52","Bayview Village",122
"227",227,2016,"D11","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","88","High Park North",69
"228",228,2018,"D31","Prov Offence Summons Part Iii Form 104                                         ","Distracted Driving","Adult","21","Humber Summit",1
"229",229,2017,"D41","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","124","Kennedy Park",214
"230",230,2019,"D41","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","122","Birchcliffe-Cliffside",20
"231",231,2022,"D53","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Adult","NSA","NSA",1004
"232",232,2017,"D51","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","74","North St.James Town",3
"233",233,2019,"D43","Prov Offence Summons Part Iii Form 104                                         ","All CAIA","Adult","141","Golfdale-Cedarbrae-Woburn",43
"234",234,2018,"D23","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","1","West Humber-Clairville",3
